,,ETSY -MKM HOMES CRAFT,ETSY -MKM HOMES CRAFT,ETSY -MKM HOMES CRAFT,ETSY -MKM HOMES CRAFT,EBAY-MKM HOMES CRAFT,EBAY-MKM HOMES CRAFT,EBAY-MKM HOMES CRAFT,EBAY-MKM HOMES CRAFT,
,,COTTON DHURRIE,JUTE DHURRIE,CHINDI COTTON-JUTE DHURRIE,CHINDI-COTTON DHURRIE,COTTON DHURRIE,JUTE DHURRIE,CHINDI COTTON-JUTE DHURRIE,CHINDI-COTTON DHURRIE,
7-November-2025,49.4,49.4,0,0,0,0,0,0,0,0
10-November-2025,301,301,0,0,0,0,0,0,0,0
13-November-2025,74.25,74.25,0,0,0,0,0,0,0,0
15-November-2025,252.67,0,252.67,0,0,0,0,0,0,0
17-November-2025,885.28,885.28,0,0,0,0,0,0,0,0
18-November-2025,132.3,0,0,132.3,0,0,0,0,0,0
20-November-2025,63,0,0,63,0,0,0,0,0,0
21-November-2025,171.5,0,0,171.5,0,0,0,0,0,0
24-November-2025,74.88,0,74.88,0,0,0,0,0,0,0
2-December-2025,134.3,0,0,0,0,134.3,0,0,0,0
3-December-2025,153,0,153,0,0,0,0,0,0,0
4-December-2025,292.5,0,86.25,206.25,0,0,0,0,0,0
5-December-2025,157.75,157.75,0,0,0,0,0,0,0,0
10-December-2025,45.5,45.5,0,0,0,0,0,0,0,0
12-December-2025,319.83,55.25,264.58,0,0,0,0,0,0,0
13-December-2025,67.15,0,0,0,0,67.15,0,0,0,0
15-December-2025,429.65,429.65,0,0,0,0,0,0,0,0
18-December-2025,152.75,152.75,0,0,0,0,0,0,0,0
24-December-2025,74.75,74.75,0,0,0,0,0,0,0,0
25-December-2025,74.75,74.75,0,0,0,0,0,0,0,0
27-December-2025,714,714,0,0,0,0,0,0,0,0
29-December-2025,217.25,217.25,0,0,0,0,0,0,0,0
30-December-2025,201.5,201.5,0,0,0,0,0,0,0,0
31-December-2025,49.4,49.4,0,0,0,0,0,0,0,0
5-January-2026,219.7,219.7,0,0,0,0,0,0,0,0
9-January-2026,102.7,102.7,0,0,0,0,0,0,0,0
13-January-2026,259.35,259.35,0,0,0,0,0,0,0,0
16-January-2026,281.45,0,281.45,0,0,0,0,0,0,0
19-January-2026,133.25,133.25,0,0,0,0,0,0,0,0
20-January-2026,117,117,0,0,0,0,0,0,0,0
21-January-2026,64.35,64.35,0,0,0,0,0,0,0,0
22-January-2026,273,273,0,0,0,0,0,0,0,0
23-January-2026,149.5,149.5,0,0,0,0,0,0,0,0
24-January-2026,40.3,40.3,0,0,0,0,0,0,0,0
29-January-2026,317.02,317.02,0,0,0,0,0,0,0,0
31-January-2026,45.5,45.5,0,0,0,0,0,0,0,0
2-February-2026,74.75,74.75,0,0,0,0,0,0,0,0
4-February-2026,454.35,454.35,0,0,0,0,0,0,0,0
5-February-2026,67.6,0,67.6,0,0,0,0,0,0,0
6-February-2026,180,180,0,0,0,0,0,0,0,0
10-February-2026,118.8,118.8,0,0,0,0,0,0,0,0
13-February-2026,137.98,64.35,0,73.63,0,0,0,0,0,0
16-February-2026,104,104,0,0,0,0,0,0,0,0
20-February-2026,348.65,231,0,0,117.65,0,0,0,0,0
21-February-2026,117,117,0,0,0,0,0,0,0,0
23-February-2026,183,183,0,0,0,0,0,0,0,0
24-February-2026,159.25,0,0,159.25,0,0,0,0,0,0
25-February-2026,93,93,0,0,0,0,0,0,0,0
26-February-2026,711.52,627.9,83.62,0,0,0,0,0,0,0
2-March-2026,206.6,206.6,0,0,0,0,0,0,0,0
5-March-2026,132,132,0,0,0,0,0,0,0,0
13-March-2026,139.1,139.1,0,0,0,0,0,0,0,0
14-March-2026,238.8,184.8,54,0,0,0,0,0,0,0
